date_time,matchday,home_team,home_score,guest_score,guest_team,season
2004-11-20T15:30:00,14,1. FSV Mainz 05,1,0,VfL Bochum,2004
2004-11-20T15:30:00,14,FC Bayern München,3,1,1. FC Kaiserslautern,2004
2004-11-20T15:30:00,14,BV Borussia Dortmund 09,2,0,SC Freiburg,2004
2004-11-20T15:30:00,14,Arminia Bielefeld,2,1,Werder Bremen,2004
2004-11-20T15:30:00,14,Bayer Leverkusen,0,3,FC Schalke 04,2004
2004-11-20T15:30:00,14,Hertha BSC,1,1,FC Hansa Rostock,2004
2004-11-20T15:30:00,14,VfB Stuttgart,1,0,Borussia Mönchengladbach,2004
2004-11-21T17:30:00,14,Hamburger SV,3,1,VfL Wolfsburg,2004
2004-11-21T17:30:00,14,1. FC Nürnberg,1,1,Hannover 96,2004
2004-11-27T15:30:00,15,1. FC Kaiserslautern,3,0,SC Freiburg,2004
2004-11-27T15:30:00,15,FC Bayern München,4,2,1. FSV Mainz 05,2004
2004-11-27T15:30:00,15,VfL Bochum,3,1,1. FC Nürnberg,2004
2004-11-27T15:30:00,15,Borussia Mönchengladbach,1,3,Hamburger SV,2004
2004-11-27T15:30:00,15,VfL Wolfsburg,2,3,Hertha BSC,2004
2004-11-27T15:30:00,15,FC Hansa Rostock,0,2,Bayer Leverkusen,2004
2004-11-27T15:30:00,15,Werder Bremen,2,0,BV Borussia Dortmund 09,2004
2004-11-28T17:30:00,15,Hannover 96,0,0,VfB Stuttgart,2004
2004-11-28T17:30:00,15,FC Schalke 04,2,1,Arminia Bielefeld,2004
2004-12-04T15:30:00,16,SC Freiburg,0,6,Werder Bremen,2004
2004-12-04T15:30:00,16,Arminia Bielefeld,1,1,FC Hansa Rostock,2004
2004-12-04T15:30:00,16,Bayer Leverkusen,2,1,VfL Wolfsburg,2004
2004-12-04T15:30:00,16,Hertha BSC,6,0,Borussia Mönchengladbach,2004
2004-12-04T15:30:00,16,Hamburger SV,0,2,Hannover 96,2004
2004-12-04T15:30:00,16,VfB Stuttgart,5,2,VfL Bochum,2004
2004-12-04T15:30:00,16,1. FC Nürnberg,2,2,FC Bayern München,2004
2004-12-05T17:30:00,16,1. FC Kaiserslautern,2,0,1. FSV Mainz 05,2004
2004-12-05T17:30:00,16,BV Borussia Dortmund 09,0,1,FC Schalke 04,2004
2004-12-11T15:30:00,17,1. FSV Mainz 05,0,1,1. FC Nürnberg,2004
2004-12-11T15:30:00,17,FC Bayern München,2,2,VfB Stuttgart,2004
2004-12-11T15:30:00,17,VfL Bochum,1,2,Hamburger SV,2004
2004-12-11T15:30:00,17,Hannover 96,0,1,Hertha BSC,2004
2004-12-11T15:30:00,17,FC Hansa Rostock,1,1,BV Borussia Dortmund 09,2004
2004-12-11T15:30:00,17,FC Schalke 04,1,1,SC Freiburg,2004
2004-12-11T15:30:00,17,Werder Bremen,1,1,1. FC Kaiserslautern,2004
2004-12-12T17:30:00,17,Borussia Mönchengladbach,1,1,Bayer Leverkusen,2004
2004-12-12T17:30:00,17,VfL Wolfsburg,5,0,Arminia Bielefeld,2004
2005-01-21T20:30:00,18,FC Bayern München,3,0,Hamburger SV,2004
2005-01-22T15:30:00,18,1. FC Nürnberg,1,3,1. FC Kaiserslautern,2004
2005-01-22T15:30:00,18,FC Hansa Rostock,0,0,SC Freiburg,2004
2005-01-22T15:30:00,18,VfL Wolfsburg,1,2,BV Borussia Dortmund 09,2004
2005-01-22T15:30:00,18,Borussia Mönchengladbach,1,0,Arminia Bielefeld,2004
2005-01-22T15:30:00,18,1. FSV Mainz 05,2,3,VfB Stuttgart,2004
2005-01-22T15:30:00,18,FC Schalke 04,2,1,Werder Bremen,2004
2005-01-23T17:30:00,18,Hannover 96,0,3,Bayer Leverkusen,2004
2005-01-23T17:30:00,18,VfL Bochum,2,2,Hertha BSC,2004
2005-01-29T15:30:00,19,Hamburger SV,2,1,1. FSV Mainz 05,2004
2005-01-29T15:30:00,19,Bayer Leverkusen,4,0,VfL Bochum,2004
2005-01-29T15:30:00,19,Arminia Bielefeld,0,1,Hannover 96,2004
2005-01-29T15:30:00,19,BV Borussia Dortmund 09,1,1,Borussia Mönchengladbach,2004
2005-01-29T15:30:00,19,SC Freiburg,1,0,VfL Wolfsburg,2004
2005-01-29T15:30:00,19,1. FC Kaiserslautern,2,0,FC Schalke 04,2004
2005-01-29T15:30:00,19,VfB Stuttgart,2,4,1. FC Nürnberg,2004
2005-01-30T17:30:00,19,Hertha BSC,0,0,FC Bayern München,2004
2005-01-30T17:30:00,19,Werder Bremen,3,2,FC Hansa Rostock,2004
2005-02-05T15:30:00,20,VfB Stuttgart,1,1,1. FC Kaiserslautern,2004
2005-02-05T15:30:00,20,Hannover 96,1,3,BV Borussia Dortmund 09,2004
2005-02-05T15:30:00,20,VfL Bochum,1,1,Arminia Bielefeld,2004
2005-02-05T15:30:00,20,FC Bayern München,2,0,Bayer Leverkusen,2004
2005-02-05T15:30:00,20,1. FSV Mainz 05,0,3,Hertha BSC,2004
2005-02-05T15:30:00,20,1. FC Nürnberg,1,3,Hamburger SV,2004
2005-02-05T15:30:00,20,FC Hansa Rostock,2,2,FC Schalke 04,2004
2005-02-06T17:30:00,20,Borussia Mönchengladbach,3,2,SC Freiburg,2004
2005-02-06T17:30:00,20,VfL Wolfsburg,2,3,Werder Bremen,2004
2005-02-12T15:30:00,21,BV Borussia Dortmund 09,1,0,VfL Bochum,2004
2005-02-12T15:30:00,21,SC Freiburg,0,0,Hannover 96,2004
2005-02-12T15:30:00,21,Werder Bremen,2,0,Borussia Mönchengladbach,2004
2005-02-12T15:30:00,21,FC Schalke 04,3,0,VfL Wolfsburg,2004
2005-02-12T15:30:00,21,1. FC Kaiserslautern,2,1,FC Hansa Rostock,2004
2005-02-12T15:30:00,21,Hamburger SV,2,1,VfB Stuttgart,2004
2005-02-12T15:30:00,21,Hertha BSC,2,1,1. FC Nürnberg,2004
2005-02-13T17:30:00,21,Bayer Leverkusen,2,0,1. FSV Mainz 05,2004
2005-02-13T17:30:00,21,Arminia Bielefeld,3,1,FC Bayern München,2004
2005-02-19T15:30:00,22,Hamburger SV,2,1,1. FC Kaiserslautern,2004
2005-02-19T15:30:00,22,VfL Bochum,3,1,SC Freiburg,2004
2005-02-19T15:30:00,22,FC Bayern München,5,0,BV Borussia Dortmund 09,2004
2005-02-19T15:30:00,22,1. FSV Mainz 05,0,0,Arminia Bielefeld,2004
2005-02-19T15:30:00,22,1. FC Nürnberg,2,4,Bayer Leverkusen,2004
2005-02-19T15:30:00,22,VfL Wolfsburg,4,0,FC Hansa Rostock,2004
2005-02-19T15:30:00,22,Hannover 96,1,4,Werder Bremen,2004
2005-02-20T17:30:00,22,VfB Stuttgart,1,0,Hertha BSC,2004
2005-02-20T17:30:00,22,Borussia Mönchengladbach,1,3,FC Schalke 04,2004
2005-02-26T15:30:00,23,BV Borussia Dortmund 09,3,0,1. FSV Mainz 05,2004
2005-02-26T15:30:00,23,SC Freiburg,0,1,FC Bayern München,2004
2005-02-26T15:30:00,23,Werder Bremen,4,0,VfL Bochum,2004
2005-02-26T15:30:00,23,FC Hansa Rostock,0,0,Borussia Mönchengladbach,2004
2005-02-26T15:30:00,23,1. FC Kaiserslautern,0,0,VfL Wolfsburg,2004
2005-02-26T15:30:00,23,Hertha BSC,4,1,Hamburger SV,2004
2005-02-26T15:30:00,23,Arminia Bielefeld,3,1,1. FC Nürnberg,2004
2005-02-27T17:30:00,23,FC Schalke 04,1,0,Hannover 96,2004
2005-02-27T17:30:00,23,Bayer Leverkusen,1,1,VfB Stuttgart,2004
2005-03-05T15:30:00,24,1. FSV Mainz 05,5,0,SC Freiburg,2004
2005-03-05T15:30:00,24,VfB Stuttgart,2,1,Arminia Bielefeld,2004
2005-03-05T15:30:00,24,Hamburger SV,1,0,Bayer Leverkusen,2004
2005-03-05T15:30:00,24,Borussia Mönchengladbach,1,0,VfL Wolfsburg,2004
2005-03-05T15:30:00,24,Hannover 96,0,1,FC Hansa Rostock,2004
2005-03-05T15:30:00,24,VfL Bochum,0,2,FC Schalke 04,2004
2005-03-05T15:30:00,24,FC Bayern München,1,0,Werder Bremen,2004
2005-03-06T17:30:00,24,Hertha BSC,1,1,1. FC Kaiserslautern,2004
2005-03-06T17:30:00,24,1. FC Nürnberg,2,2,BV Borussia Dortmund 09,2004
2005-03-12T15:30:00,25,Werder Bremen,0,0,1. FSV Mainz 05,2004
2005-03-12T15:30:00,25,FC Hansa Rostock,3,1,VfL Bochum,2004
2005-03-12T15:30:00,25,VfL Wolfsburg,1,0,Hannover 96,2004
2005-03-12T15:30:00,25,1. FC Kaiserslautern,1,0,Borussia Mönchengladbach,2004
2005-03-12T15:30:00,25,Bayer Leverkusen,3,3,Hertha BSC,2004
2005-03-12T15:30:00,25,Arminia Bielefeld,3,4,Hamburger SV,2004
2005-03-12T15:30:00,25,SC Freiburg,2,3,1. FC Nürnberg,2004
2005-03-13T17:30:00,25,FC Schalke 04,1,0,FC Bayern München,2004
2005-03-13T17:30:00,25,BV Borussia Dortmund 09,0,2,VfB Stuttgart,2004
2005-03-19T15:30:00,26,Bayer Leverkusen,2,0,1. FC Kaiserslautern,2004
2005-03-19T15:30:00,26,Hamburger SV,2,3,BV Borussia Dortmund 09,2004
2005-03-19T15:30:00,26,Hertha BSC,3,0,Arminia Bielefeld,2004
2005-03-19T15:30:00,26,Hannover 96,2,1,Borussia Mönchengladbach,2004
2005-03-19T15:30:00,26,VfL Bochum,5,1,VfL Wolfsburg,2004
2005-03-19T15:30:00,26,FC Bayern München,3,1,FC Hansa Rostock,2004
2005-03-19T15:30:00,26,1. FC Nürnberg,1,2,Werder Bremen,2004
2005-03-20T17:30:00,26,VfB Stuttgart,1,0,SC Freiburg,2004
2005-03-20T17:30:00,26,1. FSV Mainz 05,2,1,FC Schalke 04,2004
